Epoch,Train Loss,Validation Loss,Train Accuracy,Validation Accuracy
1,0.47963764911579154,0.1923221219396382,0.8340020060180542,0.9461988304093567
2,0.17571271437340777,0.220547259638184,0.9503510531594784,0.9239766081871345
3,0.15363444263860956,0.1216950515361383,0.9571213640922769,0.9578947368421052
4,0.1122038519026762,0.1399520333289926,0.9679037111334002,0.9532163742690059
5,0.10732466459961808,0.16859481071519572,0.9666499498495487,0.9532163742690059
6,0.09775411786741335,0.08571183434551397,0.9704112337011033,0.968421052631579
7,0.07729230940700653,0.08685793620779327,0.9794383149448345,0.9660818713450292
8,0.09416622231334239,0.09300186276566565,0.9729187562688064,0.9695906432748538
9,0.07309320637369632,0.0759894720044488,0.9784353059177533,0.9730994152046784
10,0.06683537678992975,0.06282732469187668,0.980692076228686,0.9742690058479532
11,0.06741557437730365,0.12120934127018465,0.9779338014042126,0.9590643274853801
12,0.0682864175210805,0.07616853719108808,0.9786860581745236,0.9754385964912281
13,0.05044414092382134,0.055955399348460444,0.9862086258776329,0.9801169590643275
14,0.05404684268528504,0.07882548413778606,0.9839518555667001,0.9766081871345029
15,0.04858965810421955,0.06381643991645056,0.9839518555667001,0.9766081871345029
16,0.04657858657233096,0.06855475367945538,0.9849548645937813,0.9766081871345029
17,0.05094905436943204,0.06319306433277085,0.9864593781344032,0.9801169590643275
18,0.05050542449939215,0.03985119626819216,0.9852056168505516,0.9871345029239766
19,0.04166067803769915,0.0359986871829507,0.9887161484453361,0.9871345029239766
20,0.034256094933086734,0.0728153637414308,0.9902206619859579,0.9847953216374269
21,0.05334588252064009,0.042712497217199434,0.9829488465396189,0.9859649122807017
22,0.03797733692177679,0.11992059161924697,0.9892176529588766,0.9590643274853801
23,0.05449234385047119,0.04717909750196407,0.9819458375125376,0.9847953216374269
24,0.03597906394394576,0.05001988590406308,0.9892176529588766,0.9812865497076023
25,0.03207379831944629,0.03864963448385855,0.9904714142427282,0.9859649122807017
26,0.04112515204054572,0.05725464533785717,0.9884653961885657,0.9754385964912281
